Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,
"C2, C4, C5, C8, C9",0603,5,0.1uF,
C3,0603,1,10uF,
"C6, C7",0603,2,22pF,
"D_0, D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_7, D_8, D_9",D_SOD-123_vertical,62,D,
F1,1206,1,500mA,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV_custom,1,USB_C_Receptacle,
"K_0, K_1, K_10, K_11, K_12, K_13, K_14, K_16, K_17, K_18, K_19, K_2, K_20, K_21, K_22, K_23, K_24, K_25, K_26, K_27, K_3, K_30, K_31, K_32, K_33, K_34, K_35, K_36, K_37, K_38, K_39, K_4, K_40, K_43, K_44, K_45, K_46, K_47, K_48, K_49, K_5, K_50, K_51, K_52, K_6, K_7, K_8, K_9",SW_Cherry_MX_PCB_1.00u,48,KEYSW,
"K_15, K_28",SW_Cherry_MX_PCB_1.50u,2,KEYSW,
K_29,SW_Cherry_MX_PCB_1.75u,1,KEYSW,
"K_41, K_42",SW_Cherry_MX_PCB_2.25u,2,KEYSW,
K_53,SW_Cherry_MX_PCB_2.75u,1,KEYSW,
"K_54, K_55, K_56, K_58, K_59, K_60, K_61",SW_Cherry_MX_PCB_1.25u,7,KEYSW,
K_57,SW_Cherry_MX_PCB_6.25u,1,KEYSW,
"R1, R2",0603,2,22,
"R3, R4",0603,2,5.1k,
"R5, R6",0603,2,10k,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-M,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,
