Designator,Mid X,Mid Y,Rotation,Layer
C1,161.0,-73.6,90.0,bottom
C2,165.3625,-81.05,180.0,bottom
C3,153.1625,-80.25,90.0,bottom
C4,152.5,-86.5,0.0,bottom
C5,161.7,-90.5,180.0,bottom
C6,168.5,-89.3,0.0,bottom
C7,169.7,-80.2,90.0,bottom
C8,162.55,-73.6,90.0,bottom
C9,154.6625,-76.35,90.0,bottom
D_0,12.0,-14.5,90.0,bottom
D_1,31.05,-14.5,90.0,bottom
D_10,202.5,-14.5,90.0,bottom
D_11,221.5,-14.5,90.0,bottom
D_12,240.5,-14.5,90.0,bottom
D_13,259.5,-14.5,90.0,bottom
D_14,278.75,-14.5,90.0,bottom
D_15,16.75,-33.5,90.0,bottom
D_16,40.5,-33.5,90.0,bottom
D_17,59.55,-33.5,90.0,bottom
D_18,78.6,-33.5,90.0,bottom
D_19,97.65,-33.5,90.0,bottom
D_2,50.1,-14.5,90.0,bottom
D_20,116.7,-33.5,90.0,bottom
D_21,135.75,-33.5,90.0,bottom
D_22,154.8,-33.5,90.0,bottom
D_23,173.85,-33.5,90.0,bottom
D_24,192.9,-33.5,90.0,bottom
D_25,211.95,-33.5,90.0,bottom
D_26,231.0,-33.5,90.0,bottom
D_27,250.0,-33.5,90.0,bottom
D_28,274.0,-33.5,90.0,bottom
D_29,19.25,-52.75,90.0,bottom
D_3,69.15,-14.5,90.0,bottom
D_30,45.25,-52.75,90.0,bottom
D_31,64.3,-52.75,90.0,bottom
D_32,83.35,-52.75,90.0,bottom
D_33,102.4,-52.75,90.0,bottom
D_34,121.5,-52.75,90.0,bottom
D_35,140.5,-52.75,90.0,bottom
D_36,159.55,-52.75,90.0,bottom
D_37,178.6,-52.75,90.0,bottom
D_38,197.65,-52.75,90.0,bottom
D_39,216.7,-52.75,90.0,bottom
D_4,88.2,-14.5,90.0,bottom
D_40,235.75,-52.75,90.0,bottom
D_41,266.75,-52.5,90.0,bottom
D_42,23.75,-71.75,90.0,bottom
D_43,54.8,-71.75,90.0,bottom
D_44,73.85,-71.75,90.0,bottom
D_45,92.9,-71.75,90.0,bottom
D_46,111.95,-71.75,90.0,bottom
D_47,131.0,-71.75,90.0,bottom
D_48,150.05,-71.75,90.0,bottom
D_49,169.1,-71.75,90.0,bottom
D_5,107.25,-14.5,90.0,bottom
D_50,188.15,-71.75,90.0,bottom
D_51,207.2,-71.75,90.0,bottom
D_52,226.25,-71.75,90.0,bottom
D_53,262.0,-71.75,90.0,bottom
D_54,14.5,-90.75,90.0,bottom
D_55,38.3125,-90.75,90.0,bottom
D_56,62.125,-90.75,90.0,bottom
D_57,133.25,-90.75,90.0,bottom
D_58,204.75,-90.75,90.0,bottom
D_59,228.75,-90.75,90.0,bottom
D_6,118.5,-14.5,90.0,bottom
D_60,252.5,-90.75,90.0,bottom
D_61,276.25,-90.75,90.0,bottom
D_7,151.0,-14.5,90.0,bottom
D_8,164.5,-14.5,90.0,bottom
D_9,183.25,-14.5,90.0,bottom
F1,138.5,-18.7875,90.0,bottom
J1,133.75,-2.5,180.0,bottom
K_0,9.4,-9.4,0.0,top
K_1,28.45,-9.4,0.0,top
