Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,69.7,-75.6,270.0,bottom
C11,83.7,-70.95,0.0,bottom
C12,86.498008,-72.851992,315.0,bottom
C13,100.992136,-81.828175,225.0,bottom
C14,88.569999,-65.3,180.0,bottom
C15,90.385534,-78.35,45.0,bottom
C16,93.210589,-81.160589,45.0,bottom
C17,88.57,-70.3,0.0,bottom
C18,104.839411,-70.889411,225.0,bottom
C19,93.213961,-66.271825,45.0,bottom
C20,91.789411,-79.739411,225.0,bottom
D_0,0.7,-5.425,90.0,bottom
D_1,19.75,-5.425,90.0,bottom
D_10,191.2,-5.425,90.0,bottom
D_11,210.25,-5.425,90.0,bottom
D_12,229.3,-5.425,90.0,bottom
D_13,257.6,-5.425,90.0,bottom
D_14,267.4,-5.425,90.0,bottom
D_15,7.35,-23.475,90.0,bottom
D_16,31.1,-23.4,90.0,bottom
D_17,50.15,-23.4,90.0,bottom
D_18,69.2,-23.4,90.0,bottom
D_19,88.25,-23.4,90.0,bottom
D_2,38.8,-5.425,90.0,bottom
D_20,107.3,-23.4,90.0,bottom
D_21,126.35,-23.4,90.0,bottom
D_22,145.4,-23.4,90.0,bottom
D_23,164.45,-23.4,90.0,bottom
D_24,183.5,-23.4,90.0,bottom
D_25,202.55,-23.4,90.0,bottom
D_26,221.6,-23.4,90.0,bottom
D_27,240.6,-23.4,90.0,bottom
D_28,256.45,-23.5,90.0,bottom
D_29,9.7,-42.5,90.0,bottom
D_3,57.85,-5.425,90.0,bottom
D_30,35.9,-42.5,90.0,bottom
D_31,54.95,-42.5,90.0,bottom
D_32,74.0,-42.5,90.0,bottom
D_33,93.1,-42.5,90.0,bottom
D_34,112.1,-42.5,90.0,bottom
D_35,131.1,-42.5,90.0,bottom
D_36,150.2,-42.5,90.0,bottom
D_37,169.2,-42.5,90.0,bottom
D_38,188.3,-42.5,90.0,bottom
D_39,207.3,-42.5,90.0,bottom
D_4,76.9,-5.425,90.0,bottom
D_40,226.4,-42.5,90.0,bottom
D_41,246.3,-42.0,90.0,bottom
D_42,27.2,-60.8,90.0,bottom
D_43,45.4,-61.4,90.0,bottom
D_44,64.45,-61.4,90.0,bottom
D_45,83.5,-61.4,90.0,bottom
D_46,102.5,-61.4,90.0,bottom
D_47,121.6,-61.4,90.0,bottom
D_48,140.7,-61.4,90.0,bottom
D_49,159.7,-61.4,90.0,bottom
D_5,95.95,-5.425,90.0,bottom
D_50,178.75,-61.4,90.0,bottom
D_51,197.8,-61.4,90.0,bottom
D_52,216.85,-61.4,90.0,bottom
D_53,253.4,-60.8,90.0,bottom
D_54,10.92,-70.699999,270.0,bottom
D_55,39.37,-70.699999,270.0,bottom
D_56,60.5,-71.4,90.0,bottom
D_57,139.17,-70.7,270.0,bottom
D_58,198.6,-70.699999,270.0,bottom
D_59,222.4,-70.699999,270.0,bottom
D_6,115.0,-5.425,90.0,bottom
D_60,246.15,-70.699999,270.0,bottom
D_61,269.9,-70.699999,270.0,bottom
D_62,15.8,-60.8,90.0,bottom
D_63,270.0,-60.8,90.0,bottom
D_64,262.8,-42.0,90.0,bottom
D_7,134.05,-5.425,90.0,bottom
D_8,153.1,-5.425,90.0,bottom
D_9,172.15,-5.425,90.0,bottom
F1,20.25,-36.35,270.0,bottom
K_0,0.0,0.0,180.0,top
K_1,19.05,0.0,180.0,top
K_10,190.5,0.0,180.0,top
K_11,209.55,0.0,180.0,top
K_12,228.6,0.0,180.0,top
K_13,247.65,0.0,180.0,top
K_14,266.7,0.0,180.0,top
K_15,4.7625,-19.05,0.0,top
K_16,28.575,-19.05,0.0,top
K_17,47.625,-19.05,0.0,top
K_18,66.675,-19.05,0.0,top
K_19,85.725,-19.05,0.0,top
K_2,38.1,0.0,180.0,top
K_20,104.775,-19.05,0.0,top
K_21,123.825,-19.05,0.0,top
K_22,142.875,-19.05,0.0,top
K_23,161.925,-19.05,0.0,top
K_24,180.975,-19.05,0.0,top
K_25,200.025,-19.05,0.0,top
K_26,219.075,-19.05,0.0,top
K_27,238.125,-19.05,0.0,top
K_28,261.9375,-19.05,180.0,top
K_29,7.14375,-38.1,0.0,top
K_3,57.15,0.0,180.0,top
K_30,33.3375,-38.1,0.0,top
K_31,52.3875,-38.1,0.0,top
K_32,71.4375,-38.1,0.0,top
K_33,90.4875,-38.1,0.0,top
K_34,109.5375,-38.1,0.0,top
K_35,128.5875,-38.1,0.0,top
K_36,147.6375,-38.1,0.0,top
K_37,166.6875,-38.1,0.0,top
K_38,185.7375,-38.1,0.0,top
K_39,204.7875,-38.1,0.0,top
K_4,76.2,0.0,180.0,top
K_40,223.8375,-38.1,0.0,top
K_41,254.79375,-38.1,0.0,top
K_42,11.90625,-57.15,0.0,top
K_43,42.8625,-57.15,0.0,top
K_44,61.9125,-57.15,0.0,top
K_45,80.9625,-57.15,0.0,top
K_46,100.0125,-57.15,0.0,top
K_47,119.0625,-57.15,0.0,top
K_48,138.1125,-57.15,0.0,top
K_49,157.1625,-57.15,0.0,top
K_5,95.25,0.0,180.0,top
K_50,176.2125,-57.15,0.0,top
K_51,195.2625,-57.15,0.0,top
K_52,214.3125,-57.15,0.0,top
K_53,250.03125,-57.15,0.0,top
K_54,257.2,0.0,180.0,top
K_55,26.2,-76.2,0.0,top
K_56,51.20625,-76.2,0.0,top
K_57,121.44375,-76.2,0.0,top
K_58,192.88125,-76.2,0.0,top
K_59,215.49375,-76.2,0.0,top
K_6,114.3,0.0,180.0,top
K_60,240.50625,-76.2,0.0,top
K_61,263.11875,-76.2,0.0,top
K_62,133.35,-76.20127,0.0,top
K_63,4.7625,-38.1,0.0,top
K_64,3.58125,-76.2,0.0,top
K_7,133.35,0.0,180.0,top
K_73,2.38,-57.15,0.0,top
K_74,23.8,-57.15,0.0,top
K_76,240.5,-57.15,0.0,top
K_77,266.7,-57.15,0.0,top
K_79,242.9,-38.1,0.0,top
K_8,152.4,0.0,180.0,top
K_80,264.32,-28.57,0.0,top
K_9,171.45,0.0,180.0,top
R1,1.3,3.975,0.0,bottom
R10,104.545235,-80.945235,225.0,bottom
R2,17.175,4.375,0.0,bottom
R3,141.425,5.625,180.0,bottom
R4,141.425,4.05,0.0,bottom
R9,103.4,-82.1,225.0,bottom
RST1,77.4,-75.6,90.0,bottom
U1,88.569999,-67.775,180.0,bottom
U3,97.103048,-74.05,45.0,bottom
U4,83.55,-68.55,90.0,bottom
