Comment,Designator,Footprint,LCSC Part #
SW_SPST,BOOT1,SW_SPST_TL3342,C318884 
100nF,"C11, C13, C15, C16, C18, C19, C20",402,C1525 
10uF,C12,603,C19702 
1uF,"C14, C17",402,C52923 
D,"D_0, D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_7, D_8, D_9",D_SOD-123_vertical,C81598 
500mA,F1,1206,C2830235 
5.1k,"R1, R10, R2, R3, R4, R9",603,C23186 
XC6206PxxxMR,U1,SOT-23-3,C5446 
STM32F072C8Tx,U3,LQFP-48_7x7mm_P0.5mm,C80488 
PRTR5V0U2X,U4,SOT-143,C2827688 
